"METRIC_NAME","2021-11-19 16:00","2021-11-19 17:00","2021-11-19 17:59","2021-11-19 19:00","2021-11-19 20:00","2021-11-19 21:00","2021-11-19 22:00","2021-11-19 22:59","2021-11-20 00:00","2021-11-20 01:00","2021-11-20 02:00","2021-11-20 02:59","2021-11-20 03:59","2021-11-20 05:00","2021-11-20 06:00","2021-11-20 07:00","2021-11-20 07:59","2021-11-20 08:59","2021-11-20 10:00","2021-11-20 11:00","2021-11-20 12:00","2021-11-20 12:59","2021-11-20 13:59","2021-11-20 15:00"
"Instance Foreground CPU",0.6,0.53,0.49,0.51,0.38,0.43,0.38,0.43,0.42,0.33,0.31,0.3,0.48,0.28,0.29,0.34,0.31,0.33,0.57,0.55,0.42,0.36,0.38,0.34
"Instance Background CPU",0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.08,0.12,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07
"Non-Database Host CPU",0.52,0.77,0.51,0.49,0.56,0.59,0.59,0.99,1.52,0.78,0.58,0.81,0.85,2.32,1.14,1.37,1.66,0.58,0.7,0.54,0.54,0.53,0.53,0.56
"Load Average",1.28,1.44,1.59,1.18,1.27,1.06,1,4.7,8.64,2.37,1.24,1.96,1.93,4.86,1.09,1.15,1.59,0.99,1.38,1.35,0.97,0.9,0.74,0.93
