"SAMPLE_TIME","METRIC_NAME","VALUE"
"11:51:22","Non-Database Host CPU",0.66
"11:52:22","Non-Database Host CPU",0.76
"11:53:21","Non-Database Host CPU",0.6
"11:54:22","Non-Database Host CPU",0.68
"11:55:22","Non-Database Host CPU",0.82
"11:56:21","Non-Database Host CPU",0.44
"11:57:21","Non-Database Host CPU",0.55
"11:58:22","Non-Database Host CPU",0.48
"11:59:22","Non-Database Host CPU",0.51
"12:00:21","Non-Database Host CPU",0.54
"12:01:21","Non-Database Host CPU",0.65
"12:02:22","Non-Database Host CPU",1.18
"12:03:21","Non-Database Host CPU",0.54
"12:04:21","Non-Database Host CPU",0.72
"12:05:22","Non-Database Host CPU",0.44
"12:06:21","Non-Database Host CPU",0.59
"12:07:22","Non-Database Host CPU",0.49
"12:08:22","Non-Database Host CPU",0.54
"12:09:22","Non-Database Host CPU",0.49
"12:10:21","Non-Database Host CPU",0.44
"12:11:22","Non-Database Host CPU",0.55
"12:12:22","Non-Database Host CPU",0.41
"12:13:21","Non-Database Host CPU",0.48
"12:14:21","Non-Database Host CPU",0.46
"12:15:22","Non-Database Host CPU",0.58
"12:16:22","Non-Database Host CPU",0.45
"12:17:21","Non-Database Host CPU",0.8
"12:18:22","Non-Database Host CPU",0.67
"12:19:22","Non-Database Host CPU",0.5
"12:20:22","Non-Database Host CPU",0.59
"12:21:22","Non-Database Host CPU",0.5
"11:22:21","Load Average",1.2
"11:23:22","Load Average",0.97
"11:24:21","Load Average",0.75
"11:25:21","Load Average",1.21
"11:26:21","Load Average",0.88
"11:27:21","Load Average",1.12
"11:28:21","Load Average",0.99
"11:29:22","Load Average",0.88
"11:30:21","Load Average",0.9
"11:31:21","Load Average",0.5
"11:32:22","Load Average",1.09
"11:33:21","Load Average",1.41
"11:34:21","Load Average",1.09
"11:35:22","Load Average",1.22
"11:36:22","Load Average",1.21
"11:37:21","Load Average",1.12
"11:38:22","Load Average",0.7
"11:39:21","Load Average",0.74
"11:40:22","Load Average",0.56
"11:41:21","Load Average",0.72
"11:42:21","Load Average",1.34
"11:43:21","Load Average",0.7
"11:44:22","Load Average",0.71
"11:45:21","Load Average",0.61
"11:46:21","Load Average",0.76
"11:47:21","Load Average",0.93
"11:48:21","Load Average",1.35
"11:49:21","Load Average",1.03
"11:50:21","Load Average",0.69
"11:51:22","Load Average",1.03
"11:52:22","Load Average",1.14
"11:53:21","Load Average",0.87
"11:54:22","Load Average",0.67
"11:55:22","Load Average",0.62
"11:56:21","Load Average",1.15
"11:57:21","Load Average",0.94
"11:58:22","Load Average",0.94
"11:59:22","Load Average",0.82
"12:00:21","Load Average",0.82
"12:01:21","Load Average",1.21
"12:02:22","Load Average",1.31
"12:03:21","Load Average",1.32
"12:04:21","Load Average",1.06
"12:05:22","Load Average",0.83
"12:06:21","Load Average",2.49
"12:07:22","Load Average",1.32
"12:08:22","Load Average",0.86
"12:09:22","Load Average",0.7
"12:10:21","Load Average",0.74
"12:11:22","Load Average",1.73
"12:12:22","Load Average",1.1
"12:13:21","Load Average",0.68
"12:14:21","Load Average",0.67
"12:15:22","Load Average",1.32
"12:16:22","Load Average",0.95
"12:17:21","Load Average",1.13
"12:18:22","Load Average",1.22
"12:19:22","Load Average",1.12
"12:20:22","Load Average",0.99
"12:21:22","Load Average",1.13
